PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,DRAFT_ROUND,DRAFT_NUMBER
203462,Archie,Goodwin,Archie Goodwin,SG,75.75,6' 3.75'',189,81.5,6' 9.5'',102,8' 6'',2013,1,29
203475,Erick,Green,Erick Green,PG,73.5,6' 1.5'',178.2,77.75,6' 5.75'',98,8' 2'',2013,2,46
203501,Tim,Hardaway Jr.,Tim Hardaway Jr.,SG,76.5,6' 4.5'',199.4,79,6' 7'',101,8' 5'',2013,1,24
203524,Solomon,Hill,Solomon Hill,SF,77.5,6' 5.5'',226,81,6' 9'',103,8' 7'',2013,1,23
203470,Colton,Iverson,Colton Iverson,C,82.5,6' 10.5'',262.8,86,7' 2'',110,9' 2'',2013,2,53
203511,Grant,Jerrett,Grant Jerrett,PF,80.75,6' 8.75'',232,86,7' 2'',109,9' 1'',2013,2,40
203509,Myck,Kabongo,Myck Kabongo,PG,73.25,6' 1.25'',180.4,78.25,6' 6.25'',98,8' 2'',2013,-1,-1
203483,Kenny,Kadji,Kenny Kadji,PF-C,80.75,6' 8.75'',241.6,87,7' 3'',106.5,8' 10.5'',2013,-1,-1
203499,Shane,Larkin,Shane Larkin,PG,70.25,5' 10.25'',170.8,70.75,5' 10.75'',89.5,7' 5.5'',2013,1,18
203495,Ricky,Ledo,Ricky Ledo,SG,76.75,6' 4.75'',197.2,79.25,6' 7.25'',102.5,8' 6.5'',2013,2,43
203466,CJ,Leslie,CJ Leslie,PF-SF,79.5,6' 7.5'',209.2,86.25,7' 2.25'',104.5,8' 8.5'',2013,-1,-1
203522,Trevor,Mbakwe,Trevor Mbakwe,PF,78.75,6' 6.75'',235.8,88,7' 4'',106.5,8' 10.5'',2013,-1,-1
203492,Ray,McCallum,Ray McCallum,PG,72.25,6' 0.25'',191.4,75.25,6' 3.25'',96.5,8' 0.5'',2013,2,36
203468,CJ,McCollum,CJ McCollum,PG-SG,74.25,6' 2.25'',197,78.25,6' 6.25'',96.5,8' 0.5'',2013,1,10
203463,Ben,McLemore,Ben McLemore,SG,75.5,6' 3.5'',189.2,79.75,6' 7.75'',100.5,8' 4.5'',2013,1,7
203502,Tony,Mitchell,Tony Mitchell,PF-SF,79.5,6' 7.5'',236.4,86.5,7' 2.5'',106.5,8' 10.5'',2013,2,37
203498,Shabazz,Muhammad,Shabazz Muhammad,SF-SG,76.75,6' 4.75'',221.8,83,6' 11'',104.5,8' 8.5'',2013,1,14
203513,Erik,Murphy,Erik Murphy,PF,80.75,6' 8.75'',239.8,82.5,6' 10.5'',108,9' 0'',2013,2,49
203488,Mike,Muscala,Mike Muscala,C-PF,82.25,6' 10.25'',230.2,85,7' 1'',108,9' 0'',2013,2,44
203506,Victor,Oladipo,Victor Oladipo,SG,75.25,6' 3.25'',213.2,81.25,6' 9.25'',100.5,8' 4.5'',2013,1,2
203482,Kelly,Olynyk,Kelly Olynyk,PF-C,82.75,6' 10.75'',234,81.75,6' 9.75'',108,9' 0'',2013,1,13
203464,Brandon,Paul,Brandon Paul,SG,74.75,6' 2.75'',201,82.25,6' 10.25'',98,8' 2'',2013,-1,-1
203658,Norvel,Pelle,Norvel Pelle,PF-C,81.5,6' 9.5'',207.2,86.5,7' 2.5'',109,9' 1'',2013,-1,-1
203486,Mason,Plumlee,Mason Plumlee,C-PF,83.25,6' 11.25'',238.2,83,6' 11'',108,9' 0'',2013,1,22
203490,Otto,Porter,Otto Porter,SF,79.5,6' 7.5'',197.6,85.5,7' 1.5'',105.5,8' 9.5'',2013,-1,-1
203515,Phil,Pressey,Phil Pressey,PG,69.5,5' 9.5'',177,74.25,6' 2.25'',92,7' 8'',2013,-1,-1
203318,Glen,Rice,Glen Rice,SF-SG,76.5,6' 4.5'',210.8,81.25,6' 9.25'',101.5,8' 5.5'',2013,2,35
203460,Andre,Roberson,Andre Roberson,PF-SF,78.25,6' 6.25'',205.8,83,6' 11'',104.5,8' 8.5'',2013,1,26
203471,Dennis,Schroder,Dennis Schroder,PG,73,6' 1'',164.8,79.75,6' 7.75'',98,8' 2'',2013,1,17
203491,Peyton,Siva,Peyton Siva,PG,71.5,5' 11.5'',180.6,75,6' 3'',93,7' 9'',2013,2,56
203503,Tony,Snell,Tony Snell,SF-SG,78,6' 6'',198.2,83.5,6' 11.5'',105.5,8' 9.5'',2013,1,20
203480,James,Southerland,James Southerland,SF-PF,79,6' 7'',220.6,85,7' 1'',106,8' 10'',2013,-1,-1
203519,Adonis,Thomas,Adonis Thomas,SF,76.75,6' 4.75'',231.8,85,7' 1'',99,8' 3'',2013,-1,-1
203472,Deshaun,Thomas,Deshaun Thomas,SF,77,6' 5'',219.8,82,6' 10'',104,8' 8'',2013,2,58
203481,Jeff,Withey,Jeff Withey,C,82.75,6' 10.75'',221.8,86,7' 2'',110.5,9' 2.5'',2013,2,39
203489,Nate,Wolters,Nate Wolters,PG,75.5,6' 3.5'',196.4,75.75,6' 3.75'',98,8' 2'',2013,2,38
203469,Cody,Zeller,Cody Zeller,C-PF,82.75,6' 10.75'',230,82.75,6' 10.75'',106,8' 10'',2013,1,4
203919,Jordan,Adams,Jordan Adams,SG,75.5,6' 3.5'',208.8,82,6' 10'',102,8' 6'',2014,1,22
203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,SF,77.25,6' 5.25'',205.2,84,7' 0'',104.5,8' 8.5'',2014,2,51
203947,Jordan,Bachynski,Jordan Bachynski,PF,85.25,7' 1.25'',254.1,88,7' 4'',108.5,9' 0.5'',2014,-1,-1
203946,Cameron,Bairstow,Cameron Bairstow,PF,80.75,6' 8.75'',252.4,84.75,7' 0.75'',107,8' 11'',2014,2,49
203920,Khem,Birch,Khem Birch,PF,79.5,6' 7.5'',208.8,85,7' 1'',107,8' 11'',2014,-1,-1
203938,Alec,Brown,Alec Brown,PF,84.25,7' 0.25'',231.2,85.5,7' 1.5'',109,9' 1'',2014,2,50
203900,Markel,Brown,Markel Brown,SG,74.5,6' 2.5'',184.4,80.75,6' 8.75'',100,8' 4'',2014,2,44
203913,Jabari,Brown,Jabari Brown,SG,75,6' 3'',201.9,80.25,6' 8.25'',100,8' 4'',2014,-1,-1
203907,Deonte,Burton,Deonte Burton,PG,72,6' 0'',192.8,79,6' 7'',97.5,8' 1.5'',2014,-1,-1
203902,Semaj,Christon,Semaj Christon,PG,73.5,6' 1.5'',186,78.5,6' 6.5'',99,8' 3'',2014,2,55
203903,Jordan,Clarkson,Jordan Clarkson,PG,75.25,6' 3.25'',186.3,80,6' 8'',98,8' 2'',2014,2,46
203905,Aaron,Craft,Aaron Craft,PG,72.75,6' 0.75'',191.6,74,6' 2'',94.5,7' 10.5'',2014,-1,-1
203908,DeAndre,Daniels,DeAndre Daniels,SF,79.25,6' 7.25'',196,86,7' 2'',106.5,8' 10.5'',2014,2,37
203921,Cleanthony,Early,Cleanthony Early,SF,78,6' 6'',209.4,82.75,6' 10.75'',101.5,8' 5.5'',2014,2,34
203929,Melvin,Ejim,Melvin Ejim,SF,77.25,6' 5.25'',218.5,83.25,6' 11.25'',103.5,8' 7.5'',2014,-1,-1
203898,Tyler,Ennis,Tyler Ennis,PG,73,6' 1'',181.5,79.25,6' 7.25'',98,8' 2'',2014,1,18
203957,Dante,Exum,Dante Exum,SG,76.5,6' 4.5'',196.3,81.5,6' 9.5'',103,8' 7'',2014,1,5
203927,C.J.,Fair,C.J. Fair,SF,78.5,6' 6.5'',218.1,81.5,6' 9.5'',104,8' 8'',2014,-1,-1
203932,Aaron,Gordon,Aaron Gordon,PF,79.5,6' 7.5'',220.1,83.75,6' 11.75'',105,8' 9'',2014,1,4
203798,P.J.,Hairston,P.J. Hairston,SG,76.25,6' 4.25'',228.8,81,6' 9'',101,8' 5'',2014,-1,-1
203925,Joe,Harris,Joe Harris,SG,76.75,6' 4.75'',215,78,6' 6'',100,8' 4'',2014,2,33
203918,Rodney,Hood,Rodney Hood,SF,79.25,6' 7.25'',208.2,80.5,6' 8.5'',103,8' 7'',2014,1,23
203928,Cory,Jefferson,Cory Jefferson,PF,79.75,6' 7.75'',218.4,84.5,7' 0.5'',105,8' 9'',2014,2,60
203910,Nick,Johnson,Nick Johnson,SG,73.5,6' 1.5'',198,79.25,6' 7.25'',96.5,8' 0.5'',2014,2,42
203945,Alex,Kirk,Alex Kirk,PF,81.25,6' 9.25'',252,87.5,7' 3.5'',109.5,9' 1.5'',2014,-1,-1
203897,Zach,LaVine,Zach LaVine,PG,76.5,6' 4.5'',180.9,80.25,6' 8.25'',100,8' 4'',2014,1,13
203906,Devyn,Marble,Devyn Marble,SG,77,6' 5'',192.4,81,6' 9'',102,8' 6'',2014,2,56
203949,James,McAdoo,James McAdoo,PF,79.5,6' 7.5'',227.6,86.25,7' 2.25'',106.5,8' 10.5'',2014,-1,-1
203909,K.J.,McDaniels,K.J. McDaniels,SF,76.5,6' 4.5'',195.6,83.25,6' 11.25'',102,8' 6'',2014,-1,-1
203926,Doug,McDermott,Doug McDermott,SF,78.25,6' 6.25'',218,81.25,6' 9.25'',103,8' 7'',2014,1,11
203895,Jordan,McRae,Jordan McRae,SG,75.75,6' 3.75'',179.4,84.5,7' 0.5'',104,8' 8'',2014,2,58
203894,Shabazz,Napier,Shabazz Napier,PG,71,5' 11'',175.2,75.25,6' 3.25'',93,7' 9'',2014,1,24
203948,Johnny,O'Bryant III,Johnny O'Bryant III,PF,79.25,6' 7.25'',256.8,86.25,7' 2.25'',105,8' 9'',2014,-1,-1
203934,Lamar,Patterson,Lamar Patterson,SG,76,6' 4'',226,83,6' 11'',101,8' 5'',2014,2,48
203901,Elfrid,Payton,Elfrid Payton,PG,74.5,6' 2.5'',185.4,80,6' 8'',98.5,8' 2.5'',2014,1,10
203939,Dwight,Powell,Dwight Powell,PF,81.5,6' 9.5'',234.4,84.5,7' 0.5'',105,8' 9'',2014,2,45
203944,Julius,Randle,Julius Randle,PF,79.75,6' 7.75'',249.7,84,7' 0'',105.5,8' 9.5'',2014,1,7
203922,Glenn,Robinson III,Glenn Robinson III,SF,77.5,6' 5.5'',211.4,82,6' 10'',100.5,8' 4.5'',2014,2,40
203941,LaQuinton,Ross,LaQuinton Ross,SF,78.5,6' 6.5'',238.7,85.75,7' 1.75'',106,8' 10'',2014,-1,-1
203935,Marcus,Smart,Marcus Smart,PG,74,6' 2'',227.2,81.25,6' 9.25'',99,8' 3'',2014,1,6
203893,Russ,Smith,Russ Smith,PG,71.5,5' 11.5'',160,75.5,6' 3.5'',95,7' 11'',2014,2,47
203917,Nik,Stauskas,Nik Stauskas,SG,77.25,6' 5.25'',206.9,79.75,6' 7.75'',102,8' 6'',2014,1,8
203950,Jarnell,Stokes,Jarnell Stokes,PF,79,6' 7'',262.8,85.25,7' 1.25'',103.5,8' 7.5'',2014,2,35
203904,Xavier,Thames,Xavier Thames,PG,74.25,6' 2.25'',187,76,6' 4'',96,8' 0'',2014,2,59
203943,Noah,Vonleh,Noah Vonleh,PF,80,6' 8'',247.1,88.25,7' 4.25'',108,9' 0'',2014,1,9
203933,T.J.,Warren,T.J. Warren,SF,79,6' 7'',220.2,82.25,6' 10.25'',104,8' 8'',2014,1,14
203912,C.J.,Wilcox,C.J. Wilcox,SG,75.5,6' 3.5'',201,81.75,6' 9.75'',100.5,8' 4.5'',2014,1,28
203899,Kendall,Williams,Kendall Williams,PG,74.25,6' 2.25'',183,77.5,6' 5.5'',99,8' 3'',2014,-1,-1
203942,Patric,Young,Patric Young,PF,80.5,6' 8.5'',246.8,85.75,7' 1.75'',103.5,8' 7.5'',2014,-1,-1
203923,James,Young,James Young,SG,77.25,6' 5.25'',213.3,84,7' 0'',104,8' 8'',2014,1,17
1626147,Justin,Anderson,Justin Anderson,SF-SG,77.25,6' 5.25'',230.6,83.75,6' 11.75'',101,8' 5'',2015,1,21
1626165,Brandon,Ashley,Brandon Ashley,PF,79.25,6' 7.25'',228,87.75,7' 3.75'',105,8' 9'',2015,-1,-1
1626207,Ryan,Boatright,Ryan Boatright,PG,70,5' 10'',169.6,72.5,6' 0.5'',92.5,7' 8.5'',2015,-1,-1
1626164,Devin,Booker,Devin Booker,SG,76.5,6' 4.5'',205.8,80.25,6' 8.25'',102.5,8' 6.5'',2015,1,13
1626148,Anthony,Brown,Anthony Brown,SF-SG,77.75,6' 5.75'',211,83,6' 11'',104.5,8' 8.5'',2015,2,34
1626176,Rakeem,Christmas,Rakeem Christmas,PF-C,80.25,6' 8.25'',242.6,89.25,7' 5.25'',110.5,9' 2.5'',2015,2,36
1626192,Pat,Connaughton,Pat Connaughton,SG,76,6' 4'',215,80,6' 8'',96,8' 0'',2015,2,41
1626188,Quinn,Cook,Quinn Cook,PG,72.25,6' 0.25'',179,76,6' 4'',96.5,8' 0.5'',2015,-1,-1
1626183,Branden,Dawson,Branden Dawson,PF,77.5,6' 5.5'',230.2,83,6' 11'',105,8' 9'',2015,2,56
1626155,Sam,Dekker,Sam Dekker,SF,79.75,6' 7.75'',218.6,83.5,6' 11.5'',106,8' 10'',2015,1,18
1626187,Michael,Frazier II,Michael Frazier II,SG,75.75,6' 3.75'',199.4,80,6' 8'',101.5,8' 5.5'',2015,-1,-1
1626203,Treveon,Graham,Treveon Graham,SF,76,6' 4'',219.4,82.5,6' 10.5'',103,8' 7'',2015,-1,-1
1626152,Olivier,Hanlan,Olivier Hanlan,PG-SG,75.25,6' 3.25'',185.8,78,6' 6'',100,8' 4'',2015,2,42
1626150,Andrew,Harrison,Andrew Harrison,PG,76.5,6' 4.5'',213.2,81,6' 9'',100,8' 4'',2015,2,44
1626151,Aaron,Harrison,Aaron Harrison,SG,76.5,6' 4.5'',209.2,80.25,6' 8.25'',100.5,8' 4.5'',2015,-1,-1
1626227,Tyler,Harvey,Tyler Harvey,SG,74.75,6' 2.75'',181.4,77.5,6' 5.5'',98.5,8' 2.5'',2015,2,51
1626186,Corey,Hawkins,Corey Hawkins,SG-PG,72.75,6' 0.75'',191.8,80,6' 8'',99.5,8' 3.5'',2015,-1,-1
1626178,Rondae,Hollis-Jefferson,Rondae Hollis-Jefferson,SF,77.5,6' 5.5'',210.8,86,7' 2'',104,8' 8'',2015,1,23
1626158,Richaun,Holmes,Richaun Holmes,PF,80.25,6' 8.25'',242.8,85.5,7' 1.5'',108,9' 0'',2015,2,37
1626182,Jonathan,Holmes,Jonathan Holmes,PF-SF,80.25,6' 8.25'',242.2,83.5,6' 11.5'',107.5,8' 11.5'',2015,-1,-1
1626154,R.J.,Hunter,R.J. Hunter,SG,76.5,6' 4.5'',185,82.5,6' 10.5'',104,8' 8'',2015,-1,-1
1626205,Vince,Hunter,Vince Hunter,PF,78.75,6' 6.75'',208.4,83,6' 11'',104.5,8' 8.5'',2015,-1,-1
1626177,Dakari,Johnson,Dakari Johnson,C,83,6' 11'',264.6,86,7' 2'',112,9' 4'',2015,2,48
1626145,Tyus,Jones,Tyus Jones,PG,72.5,6' 0.5'',184.6,77,6' 5'',97,8' 1'',2015,1,24
1626185,Jarell,Martin,Jarell Martin,PF,80,6' 8'',238.6,81,6' 9'',106.5,8' 10.5'',2015,1,25
204456,TJ,McConnell,TJ McConnell,PG,72.5,6' 0.5'',187.8,74,6' 2'',96.5,8' 0.5'',2015,-1,-1
1626175,Jordan,Mickey,Jordan Mickey,PF,79,6' 7'',238,87.25,7' 3.25'',106,8' 10'',2015,2,33
2006,Larry,Nance,Larry Nance,PF,79.5,6' 7.5'',226.6,85.5,7' 1.5'',108,9' 0'',2015,-1,-1
1626162,Kelly,Oubre,Kelly Oubre,SF-SG,77.75,6' 5.75'',202.8,86.25,7' 2.25'',102.5,8' 6.5'',2015,-1,-1
1626166,Cameron,Payne,Cameron Payne,PG,72.75,6' 0.75'',182.8,79.25,6' 7.25'',97.5,8' 1.5'',2015,1,14
1626189,Terran,Petteway,Terran Petteway,SG,76.75,6' 4.75'',209.2,83.25,6' 11.25'',104.5,8' 8.5'',2015,-1,-1
1626171,Bobby,Portis,Bobby Portis,PF,81.5,6' 9.5'',246.2,86,7' 2'',108.5,9' 0.5'',2015,1,22
1626181,Norman,Powell,Norman Powell,SG,75,6' 3'',215.4,82.75,6' 10.75'',102.5,8' 6.5'',2015,2,46
1626180,Michael,Qualls,Michael Qualls,SG-SF,76,6' 4'',201.4,84.25,7' 0.25'',104.5,8' 8.5'',2015,-1,-1
1626184,Chasson,Randle,Chasson Randle,PG,72.25,6' 0.25'',178.8,79,6' 7'',96.5,8' 0.5'',2015,-1,-1
1626179,Terry,Rozier,Terry Rozier,PG-SG,72.5,6' 0.5'',190.2,80.25,6' 8.25'',98.5,8' 2.5'',2015,1,16
1626208,Keifer,Sykes,Keifer Sykes,PG,70.5,5' 10.5'',167.2,74,6' 2'',93,7' 9'',2015,-1,-1
1626194,Marcus,Thornton,Marcus Thornton,PG-SG,73.75,6' 1.75'',177.4,79.75,6' 7.75'',97.5,8' 1.5'',2015,2,43
1626160,J.P.,Tokoto,J.P. Tokoto,SF-SG,77.25,6' 5.25'',195.8,82,6' 10'',100.5,8' 4.5'',2015,-1,-1
1626173,Rashad,Vaughn,Rashad Vaughn,SG,75.75,6' 3.75'',198.6,79,6' 7'',101,8' 5'',2015,1,17
1626217,Chris,Walker,Chris Walker,PF,80.75,6' 8.75'',208,86.75,7' 2.75'',108,9' 0'',2015,-1,-1
1627361,Dez,Wells,Dez Wells,SG,75,6' 3'',208.8,81.5,6' 9.5'',100.5,8' 4.5'',2015,-1,-1
1626210,Alan,Williams,Alan Williams,PF,79.25,6' 7.25'',261.4,85.75,7' 1.75'',106.5,8' 10.5'',2015,-1,-1
1626153,Delon,Wright,Delon Wright,PG,76.25,6' 4.25'',181.4,79.5,6' 7.5'',101.5,8' 5.5'',2015,1,20
1627758,Ron,Baker,Ron Baker,SG,75.25,6' 3.25'',212.4,81.75,6' 9.75'',97.5,8' 1.5'',2016,-1,-1
1627735,Wade,Baldwin IV,Wade Baldwin IV,PG,74.5,6' 2.5'',201.8,83.25,6' 11.25'',100,8' 4'',2016,1,17
1627761,DeAndre,Bembry,DeAndre Bembry,SG-SF,76.25,6' 4.25'',206.6,81.25,6' 9.25'',101,8' 5'',2016,-1,-1
1627791,Ben,Bentil,Ben Bentil,PF,79.25,6' 7.25'',229.2,85.5,7' 1.5'',105,8' 9'',2016,2,51
1628417,Jaron,Blossomgame,Jaron Blossomgame,SF,78.25,6' 6.25'',213.6,82,6' 10'',102,8' 6'',2016,-1,-1
1627762,Joel,Bolomboy,Joel Bolomboy,PF,79.5,6' 7.5'',224.4,85.75,7' 1.75'',103.5,8' 7.5'',2016,2,52
1627763,Malcolm,Brogdon,Malcolm Brogdon,SG,75.75,6' 3.75'',223,82.5,6' 10.5'',98,8' 2'',2016,2,36
1627737,Marquese,Chriss,Marquese Chriss,PF,80.75,6' 8.75'',233,84.25,7' 0.25'',105,8' 9'',2016,1,8
1627766,Isaiah,Cousins,Isaiah Cousins,PG,75.25,6' 3.25'',194,78.25,6' 6.25'',98.5,8' 2.5'',2016,2,59
1627767,Cheick,Diallo,Cheick Diallo,PF,79.5,6' 7.5'',218.6,88.5,7' 4.5'',107.5,8' 11.5'',2016,2,33
1627768,Perry,Ellis,Perry Ellis,PF,79,6' 7'',217.8,82.25,6' 10.25'',102,8' 6'',2016,-1,-1
1627770,Kay,Felder,Kay Felder,PG,68.25,5' 8.25'',177.2,74.5,6' 2.5'',88.5,7' 4.5'',2016,2,54
1627827,Dorian,Finney-Smith,Dorian Finney-Smith,SF,78.5,6' 6.5'',212.6,83.75,6' 11.75'',105.5,8' 9.5'',2016,-1,-1
1627771,Michael,Gbinije,Michael Gbinije,SG,77.5,6' 5.5'',204.6,79.5,6' 7.5'',101,8' 5'',2016,2,49
1627772,Daniel,Hamilton,Daniel Hamilton,SG-SF,78.25,6' 6.25'',197,81,6' 9'',103.5,8' 7.5'',2016,2,56
1628404,Josh,Hart,Josh Hart,SG,76,6' 4'',203.6,80.5,6' 8.5'',99.5,8' 3.5'',2016,-1,-1
1628502,Nigel,Hayes,Nigel Hayes,SF-PF,78.25,6' 6.25'',245,87,7' 3'',107.5,8' 11.5'',2016,-1,-1
204211,Justin,Jackson,Justin Jackson,SF,79,6' 7'',193.4,82.75,6' 10.75'',103.5,8' 7.5'',2016,-1,-1
1627743,Demetrius,Jackson,Demetrius Jackson,PG,72,6' 0'',193.8,77.5,6' 5.5'',93,7' 9'',2016,2,45
1627744,Brice,Johnson,Brice Johnson,PF,81,6' 9'',208.6,84.5,7' 0.5'',106.5,8' 10.5'',2016,1,25
1627745,Damian,Jones,Damian Jones,C,82.25,6' 10.25'',243.6,87.75,7' 3.75'',107,8' 11'',2016,1,30
1627774,Jake,Layman,Jake Layman,SF,80,6' 8'',208.6,81.25,6' 9.25'',102,8' 6'',2016,2,47
1629159,Marcus,Lee,Marcus Lee,PF-C,81,6' 9'',211,87,7' 3'',107.5,8' 11.5'',2016,-1,-1
1627748,Thon,Maker,Thon Maker,PF,83.75,6' 11.75'',216,87,7' 3'',110.5,9' 2.5'',2016,1,10
1627775,Patrick,McCaw,Patrick McCaw,PG-SG,77.25,6' 5.25'',180.8,82,6' 10'',100.5,8' 4.5'',2016,2,38
1629005,Malik,Newman,Malik Newman,SG,74.25,6' 2.25'',182.2,77.75,6' 5.75'',97.5,8' 1.5'',2016,-1,-1
1627777,Georges,Niang,Georges Niang,PF,78.75,6' 6.75'',230.8,82,6' 10'',103,8' 7'',2016,2,50
1627778,Chinanu,Onuaku,Chinanu Onuaku,C,81,6' 9'',245.2,86.75,7' 2.75'',108.5,9' 0.5'',2016,2,37
1627779,Marcus,Paige,Marcus Paige,PG,72.5,6' 0.5'',163.8,78.25,6' 6.25'',97,8' 1'',2016,2,55
1627780,Gary,Payton II,Gary Payton II,PG,74,6' 2'',183.8,80,6' 8'',99.5,8' 3.5'',2016,-1,-1
1627752,Taurean,Prince,Taurean Prince,SF,78.5,6' 6.5'',220.2,83.5,6' 11.5'',102,8' 6'',2016,1,12
1627753,Zhou,Qi,Zhou Qi,PF-C,85.25,7' 1.25'',218.2,91.75,7' 7.75'',112.5,9' 4.5'',2016,2,43
1627781,Malachi,Richardson,Malachi Richardson,SG-SF,76.75,6' 4.75'',199.6,84,7' 0'',101.5,8' 5.5'',2016,1,22
1627783,Pascal,Siakam,Pascal Siakam,PF,80.25,6' 8.25'',226.6,87.25,7' 3.25'',107.5,8' 11.5'',2016,1,27
1627754,Diamond,Stone,Diamond Stone,C,81,6' 9'',254.4,86.75,7' 2.75'',108.5,9' 0.5'',2016,2,40
1628403,Caleb,Swanigan,Caleb Swanigan,PF,79.5,6' 7.5'',246.6,87.5,7' 3.5'',107,8' 11'',2016,-1,-1
1628453,Melo,Trimble,Melo Trimble,PG,73.25,6' 1.25'',191.8,74,6' 2'',92.5,7' 8.5'',2016,-1,-1
1627755,Tyler,Ulis,Tyler Ulis,PG,68.75,5' 8.75'',149.2,74,6' 2'',88.5,7' 4.5'',2016,2,34
1627784,Jarrod,Uthoff,Jarrod Uthoff,PF,80.5,6' 8.5'',214.4,83.5,6' 11.5'',104,8' 8'',2016,-1,-1
1627756,Denzel,Valentine,Denzel Valentine,SG-SF,76,6' 4'',210.4,82.75,6' 10.75'',102,8' 6'',2016,1,14
1627785,Isaiah,Whitehead,Isaiah Whitehead,PG-SG,75.25,6' 3.25'',210,80.75,6' 8.75'',100,8' 4'',2016,2,42
1627786,Troy,Williams,Troy Williams,SF,77.75,6' 5.75'',217.8,80.25,6' 8.25'',102,8' 6'',2016,-1,-1
1627787,Kyle,Wiltjer,Kyle Wiltjer,PF,80.75,6' 8.75'',242.8,84.25,7' 0.25'',102.5,8' 6.5'',2016,-1,-1
1627757,Stephen,Zimmerman,Stephen Zimmerman,C,82.25,6' 10.25'',234,87.25,7' 3.25'',108.5,9' 0.5'',2016,2,41
