PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PIE_5_YR,5th_YR_SALARY,5th_YR_SALARY_TAG
200770,Jordan,Farmar,Jordan Farmar,PG,72.75,6' 0.75'',171.0,75.0,6' 3'',94.5,7' 10.5'',2006,2005-06,0,2535,California-Los Angeles,19,37,37,30.4,4.6,11.4,0.41,1.7,5.1,0.333,2.5,3.4,0.717,0.6,2.0,2.6,5.1,1.1,0.2,3.6,1.7,13.5,10.8,3750000,average
200751,Randy,Foye,Randy Foye,SG-PG,74.25,6' 2.25'',212.0,78.25,6' 6.25'',97.0,8' 1'',2006,2005-06,0,3502,Villanova,22,33,33,34.7,6.8,16.7,0.411,2.7,7.7,0.35,4.1,5.2,0.791,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2,20.5,7.3,4250000,average
200752,Rudy,Gay,Rudy Gay,SF-PF,79.0,6' 7'',222.0,87.0,7' 3'',107.5,8' 11.5'',2006,2005-06,0,2609,Connecticut,19,33,33,30.8,5.7,12.3,0.461,0.8,2.7,0.318,3.1,4.2,0.732,2.0,4.4,6.4,2.1,1.8,1.6,2.5,2.3,15.2,12.2,13603750,max
200794,Paul,Millsap,Paul Millsap,PF,78.25,6' 6.25'',258.0,85.5,7' 1.5'',105.5,8' 9.5'',2006,2005-06,0,2878,Louisiana Tech,21,33,33,34.1,7.8,13.7,0.571,0.2,0.4,0.357,3.8,6.2,0.623,6.0,7.3,13.3,1.1,1.9,2.3,2.5,3.1,19.6,12.9,7600000,above average
201383,Dwayne,Mitchell,Dwayne Mitchell,SG-SF,74.0,6' 2'',208.0,78.5,6' 6.5'',98.5,8' 2.5'',2006,2005-06,0,2867,Louisiana-Lafayette,23,28,28,36.7,6.3,12.0,0.524,0.5,2.0,0.25,3.5,5.9,0.59,2.3,5.9,8.2,4.3,2.1,0.3,4.6,2.5,16.6,0.0,0,no contract
200779,Steve,Novak,Steve Novak,SF,80.0,6' 8'',216.0,81.5,6' 9.5'',103.0,8' 7'',2006,2005-06,0,3742,Marquette,23,31,31,33.8,5.6,11.7,0.477,3.9,8.4,0.467,2.4,2.5,0.974,1.1,4.8,5.9,1.3,0.6,0.1,1.0,2.1,17.5,11.4,384766,minimum
200755,JJ,Redick,JJ Redick,SG,76.0,6' 4'',190.0,75.25,6' 3.25'',97.5,8' 1.5'',2006,2005-06,0,3111,Duke,22,36,36,37.1,8.4,17.9,0.47,3.9,9.2,0.421,6.1,7.1,0.863,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5,26.8,9.2,0,no contract
200748,Tyrus,Thomas,Tyrus Thomas,PF-SF,79.25,6' 7.25'',217.0,87.0,7' 3'',108.0,9' 0'',2006,2005-06,0,2863,Louisiana State,19,32,21,25.9,4.8,7.8,0.608,0.0,0.0,1.0,2.8,4.3,0.657,2.8,6.4,9.2,1.3,1.0,3.1,1.8,2.6,12.3,12.4,6611570,above average
201228,CJ,Watson,CJ Watson,PG,72.5,6' 0.5'',171.0,78.0,6' 6'',96.0,8' 0'',2006,2005-06,0,3575,Tennessee,22,30,30,31.9,4.5,9.7,0.467,1.6,3.9,0.422,4.6,5.2,0.878,0.5,2.6,3.1,3.9,2.0,0.1,2.1,2.6,15.3,8.7,0,no contract
200761,Shawne,Williams,Shawne Williams,SF-PF,79.25,6' 7.25'',227.0,87.0,7' 3'',104.0,8' 8'',2006,2005-06,0,3581,Memphis,20,36,34,27.3,4.3,10.4,0.416,1.3,4.3,0.312,3.2,4.0,0.786,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,7.2,885210,below average
201147,Corey,Brewer,Corey Brewer,SF-SG,78.0,6' 6'',185.0,80.25,6' 8.25'',103.0,8' 7'',2007,2006-07,0,2635,Florida,21,37,37,28.7,4.6,9.6,0.475,1.1,3.2,0.336,3.0,4.2,0.723,1.1,3.6,4.7,2.9,1.9,0.4,2.5,1.9,13.2,7.6,3059000,average
201166,Aaron,Brooks,Aaron Brooks,PG,70.0,5' 10'',161.0,76.0,6' 4'',94.0,7' 10'',2007,2006-07,0,3399,Oregon,22,35,35,36.8,6.1,13.2,0.46,2.3,5.7,0.404,3.3,3.9,0.846,0.9,3.4,4.3,4.3,1.4,0.2,2.5,2.5,17.7,0.0,0,no contract
201144,Mike,Conley,Mike Conley,PG,71.0,5' 11'',175.0,77.75,6' 5.75'',94.5,7' 10.5'',2007,2006-07,0,3346,Ohio State,19,39,39,31.6,4.1,7.9,0.518,0.5,1.8,0.304,2.6,3.7,0.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,11.5,6611571,above average
201162,Jared,Dudley,Jared Dudley,SF,77.0,6' 5'',219.0,79.0,6' 7'',102.0,8' 6'',2007,2006-07,0,2903,Boston College,21,30,30,38.4,6.5,11.6,0.562,1.3,2.9,0.443,4.7,6.4,0.743,3.0,5.2,8.3,3.0,1.4,0.3,2.6,2.2,19.0,9.4,4250000,average
201142,Kevin,Durant,Kevin Durant,SF-PF,81.0,6' 9'',215.0,88.75,7' 4.75'',110.0,9' 2'',2007,2006-07,0,3601,Texas,18,35,35,35.9,8.7,18.5,0.473,2.3,5.8,0.404,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,18.0,15506632,max
201145,Jeff,Green,Jeff Green,SF,79.0,6' 7'',228.0,85.25,7' 1.25'',103.0,8' 7'',2007,2006-07,0,2620,Georgetown,20,37,37,33.3,5.3,10.3,0.513,1.0,2.6,0.375,2.7,3.5,0.775,1.7,4.7,6.4,3.2,0.8,1.2,2.6,2.5,14.3,0.0,0,no contract
201150,Spencer,Hawes,Spencer Hawes,PF,82.0,6' 10'',244.0,84.5,7' 0.5'',110.0,9' 2'',2007,2006-07,0,3721,Washington,19,31,24,28.9,6.2,11.7,0.532,0.0,0.1,0.333,2.4,3.2,0.755,2.0,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,12.3,4051024,average
201143,Al,Horford,Al Horford,PF,80.0,6' 8'',246.0,84.75,7' 0.75'',107.0,8' 11'',2007,2006-07,0,2635,Florida,21,38,36,27.8,4.9,8.1,0.608,0.0,0.1,0.0,3.4,5.3,0.644,2.5,6.9,9.5,2.2,0.7,1.8,1.8,2.5,13.2,13.0,12000000,near max
201207,Coby,Karl,Coby Karl,SG-PG,75.0,6' 3'',204.0,83.0,6' 11'',99.5,8' 3.5'',2007,2006-07,0,2727,Boise State,24,31,31,32.5,4.2,10.4,0.408,2.6,7.0,0.37,3.7,4.5,0.835,0.5,3.6,4.1,4.0,0.8,0.6,3.1,2.5,14.8,0.0,0,no contract
201171,Carl,Landry,Carl Landry,PF,79.0,6' 7'',248.0,83.0,6' 11'',102.5,8' 6.5'',2007,2006-07,0,2815,Purdue,23,34,34,30.4,6.4,10.8,0.597,0.1,0.6,0.211,5.9,8.1,0.726,3.0,4.4,7.3,1.2,1.2,0.9,3.0,2.9,18.9,12.2,8500000,above average
201858,Cartier,Martin,Cartier Martin,SF,76.0,6' 4'',218.0,82.0,6' 10'',103.5,8' 7.5'',2007,2006-07,0,2832,Kansas State,22,35,18,27.5,5.6,12.2,0.46,2.2,5.8,0.386,3.6,4.5,0.799,2.0,2.5,4.4,1.3,0.7,0.2,1.7,2.7,17.1,7.3,0,no contract
201177,Josh,McRoberts,Josh McRoberts,PF,80.0,6' 8'',240.0,85.0,7' 1'',106.5,8' 10.5'',2007,2006-07,0,3111,Duke,20,33,32,35.3,5.0,9.9,0.502,0.2,0.7,0.217,2.9,4.4,0.664,2.1,5.8,7.9,3.5,1.2,2.5,2.4,2.5,13.0,7.2,3000000,average
201149,Joakim,Noah,Joakim Noah,PF,82.0,6' 10'',223.0,85.25,7' 1.25'',106.5,8' 10.5'',2007,2006-07,0,2635,Florida,22,40,40,25.9,4.3,7.2,0.605,0.0,0.0,1.0,3.3,5.0,0.663,2.6,5.9,8.4,2.3,1.1,1.8,2.5,2.3,12.0,12.7,12000000,near max
201196,Ramon,Sessions,Ramon Sessions,PG,74.0,6' 2'',185.0,76.25,6' 4.25'',97.5,8' 1.5'',2007,2006-07,0,3216,Nevada-Reno,21,34,33,30.2,4.1,9.1,0.452,0.6,1.5,0.38,3.5,4.2,0.825,1.1,3.6,4.7,4.7,0.9,0.2,2.5,1.2,12.3,12.5,4257973,average
201160,Jason,Smith,Jason Smith,PF,82.75,6' 10.75'',233.0,82.75,6' 10.75'',106.0,8' 10'',2007,2006-07,0,2586,Colorado State,21,30,28,30.2,5.8,10.1,0.579,0.0,0.1,0.0,5.1,6.7,0.77,3.3,6.9,10.1,1.9,0.5,1.6,3.4,3.1,16.8,10.3,2500000,average
201155,Rodney,Stuckey,Rodney Stuckey,SG-PG,75.75,6' 3.75'',207.0,79.25,6' 7.25'',100.5,8' 4.5'',2007,2006-07,0,3714,Eastern Washington,21,29,29,33.3,7.8,17.3,0.453,1.5,5.6,0.267,7.4,8.8,0.846,1.2,3.4,4.7,5.5,2.4,0.3,3.4,2.3,24.6,10.8,8500000,above average
201229,Anthony,Tolliver,Anthony Tolliver,PF,79.0,6' 7'',242.0,86.5,7' 2.5'',107.5,8' 11.5'',2007,2006-07,0,3160,Creighton,22,33,33,31.6,4.8,9.5,0.506,0.1,0.6,0.211,3.7,5.7,0.658,2.2,4.4,6.7,1.9,0.7,1.7,2.0,3.1,13.4,6.4,2050000,average
201148,Brandan,Wright,Brandan Wright,PF,80.75,6' 8.75'',200.0,87.75,7' 3.75'',108.5,9' 0.5'',2007,2006-07,0,3104,North Carolina,19,37,37,27.4,6.2,9.5,0.646,0.0,0.0,,2.4,4.2,0.567,2.1,4.1,6.2,1.0,1.0,1.8,1.6,1.5,14.7,12.7,0,no contract
201156,Nick,Young,Nick Young,SG-SF,77.0,6' 5'',206.0,84.0,7' 0'',100.5,8' 4.5'',2007,2006-07,0,2534,Southern California,22,37,36,33.2,6.5,12.3,0.525,1.2,2.7,0.44,3.4,4.3,0.786,1.2,3.4,4.6,1.4,0.7,0.3,2.4,2.5,17.5,7.1,3695857,average
201152,Thaddeus,Young,Thaddeus Young,SF,77.75,6' 5.75'',210.0,83.5,6' 11.5'',106.0,8' 10'',2007,2006-07,0,2664,Georgia Tech,19,31,31,29.6,5.7,11.9,0.478,1.3,3.0,0.419,1.7,2.3,0.743,2.3,2.5,4.9,2.0,1.3,0.4,2.2,2.0,14.4,11.6,7478261,above average
201570,Joe,Alexander,Joe Alexander,SF-PF,79.25,6' 7.25'',220.0,83.5,6' 11.5'',106.0,8' 10'',2008,2007-08,0,3769,West Virginia,21,36,34,31.6,6.1,13.2,0.462,0.3,1.1,0.268,4.4,5.4,0.814,1.9,4.5,6.4,2.4,0.7,1.5,2.2,2.9,16.9,0.0,0,no contract
201589,Darrell,Arthur,Darrell Arthur,PF,79.5,6' 7.5'',216.0,82.75,6' 10.75'',107.0,8' 11'',2008,2007-08,0,2828,Kansas,20,40,39,24.7,5.4,9.9,0.543,0.1,0.3,0.167,2.0,2.9,0.702,2.3,4.0,6.3,0.8,0.5,1.3,1.9,3.0,12.8,6.5,3006217,average
201571,D.J.,Augustin,D.J. Augustin,PG,70.0,5' 10'',171.5,75.5,6' 3.5'',94.5,7' 10.5'',2008,2007-08,0,3601,Texas,20,38,38,37.3,6.4,14.5,0.439,1.9,5.1,0.381,4.6,5.8,0.783,0.5,2.4,2.9,5.8,1.2,0.0,2.8,1.6,19.2,8.9,3500000,average
201573,Jerryd,Bayless,Jerryd Bayless,PG-SG,73.75,6' 1.75'',204.0,75.5,6' 3.5'',97.0,8' 1'',2008,2007-08,0,2507,Arizona,19,30,30,35.7,5.8,12.6,0.458,2.0,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7,9.7,3000000,average
201563,Michael,Beasley,Michael Beasley,PF-SF,79.0,6' 7'',239.0,84.25,7' 0.25'',107.0,8' 11'',2008,2007-08,0,2832,Kansas State,19,33,33,31.5,9.3,17.5,0.532,1.1,2.9,0.379,6.5,8.5,0.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,8.0,5750000,above average
201595,Joey,Dorsey,Joey Dorsey,PF-C,78.25,6' 6.25'',265.0,85.75,7' 1.75'',107.0,8' 11'',2008,2007-08,0,3581,Memphis,24,38,33,25.2,2.8,4.4,0.647,0.0,0.0,0.0,1.2,3.1,0.378,3.5,6.0,9.5,0.5,1.1,1.9,1.1,2.8,6.9,0.0,0,no contract
201569,Eric,Gordon,Eric Gordon,SG,74.0,6' 2'',222.0,81.0,6' 9'',99.0,8' 3'',2008,2007-08,0,2783,Indiana,19,32,32,34.7,5.8,13.3,0.433,2.2,6.5,0.337,7.2,8.7,0.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,8.6,13668750,max
201588,George,Hill,George Hill,PG,73.25,6' 1.25'',181.0,81.0,6' 9'',97.5,8' 1.5'',2008,2007-08,0,2800,IUPUI,22,32,32,36.8,6.9,12.6,0.545,1.5,3.4,0.45,6.2,7.7,0.812,1.5,5.2,6.8,4.3,1.8,0.4,2.9,2.8,21.5,8.6,8000000,above average
201991,Lester,Hudson,Lester Hudson,PG,71.75,5' 11.75'',196.0,80.75,6' 8.75'',98.5,8' 2.5'',2008,2008-09,0,3576,Tennessee-Martin,24,32,32,36.0,9.8,21.8,0.449,3.3,9.3,0.355,4.6,5.3,0.881,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7,27.5,0.0,0,no contract
201616,Darnell,Jackson,Darnell Jackson,PF,79.0,6' 7'',240.5,83.25,6' 11.25'',106.5,8' 10.5'',2008,2007-08,0,2828,Kansas,22,40,35,24.3,4.3,6.8,0.626,0.1,0.2,0.333,2.6,3.7,0.691,2.0,4.7,6.7,1.1,0.8,0.5,1.3,2.3,11.2,0.0,0,no contract
201599,DeAndre,Jordan,DeAndre Jordan,C,81.75,6' 9.75'',250.0,90.0,7' 6'',113.5,9' 5.5'',2008,2007-08,0,3608,Texas A&M,19,35,21,20.1,3.2,5.2,0.617,0.0,0.0,,1.5,3.4,0.437,1.9,4.1,6.0,0.4,0.2,1.3,1.6,1.9,7.9,9.9,10532977,near max
201572,Brook,Lopez,Brook Lopez,C,83.25,6' 11.25'',258.0,89.5,7' 5.5'',113.0,9' 5'',2008,2007-08,0,2571,Stanford,20,27,25,30.8,6.8,14.6,0.468,0.0,0.2,0.0,5.7,7.2,0.789,2.9,5.3,8.2,1.4,0.6,2.1,2.1,2.4,19.3,14.8,13668750,max
201567,Kevin,Love,Kevin Love,PF,79.75,6' 7.75'',255.0,83.25,6' 11.25'',106.0,8' 10'',2008,2007-08,0,2535,California-Los Angeles,19,39,38,29.6,5.8,10.4,0.559,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,14.4,13668750,max
201564,O.J.,Mayo,O.J. Mayo,SG-PG,75.25,6' 3.25'',200.0,78.0,6' 6'',99.5,8' 3.5'',2008,2007-08,0,2534,Southern California,20,33,32,36.8,7.2,16.2,0.442,2.7,6.5,0.409,3.7,4.6,0.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,9.1,4020000,average
201601,Luc,Mbah a Moute,Luc Mbah a Moute,SF,77.75,6' 5.75'',221.0,86.5,7' 2.5'',103.5,8' 7.5'',2008,2007-08,0,2535,California-Los Angeles,21,33,33,29.0,3.5,7.4,0.478,0.2,0.8,0.2,1.5,2.2,0.689,2.2,3.8,6.0,1.5,1.0,0.5,1.9,1.7,8.8,5.8,4795192,average
201580,JaVale,McGee,JaVale McGee,C-PF,83.0,6' 11'',241.0,90.0,7' 6'',114.5,9' 6.5'',2008,2007-08,0,3216,Nevada-Reno,20,33,31,27.3,5.7,10.8,0.529,0.4,1.3,0.333,2.2,4.3,0.525,2.5,4.8,7.3,0.6,0.8,2.8,2.4,2.5,14.1,11.1,10000000,near max
201781,Russell,Robinson,Russell Robinson,PG,72.5,6' 0.5'',196.0,80.0,6' 8'',100.5,8' 4.5'',2008,2007-08,0,2828,Kansas,22,40,40,27.5,2.1,5.0,0.424,0.9,2.8,0.318,2.2,2.8,0.779,0.5,2.3,2.8,4.1,2.0,0.4,2.1,1.9,7.3,0.0,0,no contract
201565,Derrick,Rose,Derrick Rose,PG,73.5,6' 1.5'',196.0,80.0,6' 8'',98.5,8' 2.5'',2008,2007-08,0,3581,Memphis,19,40,39,29.2,5.2,10.9,0.477,0.9,2.6,0.337,3.7,5.1,0.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,0.0,16402500,max
201566,Russell,Westbrook,Russell Westbrook,PG,74.25,6' 2.25'',192.0,79.75,6' 7.75'',100.0,8' 4'',2008,2007-08,0,2535,California-Los Angeles,19,39,34,33.8,4.7,10.0,0.465,0.7,2.0,0.338,2.7,3.8,0.713,1.6,2.4,3.9,4.3,1.6,0.2,2.5,2.4,12.7,15.5,13668750,max
202399,Jeff,Adrien,Jeff Adrien,PF,77.25,6' 5.25'',236.2,86.0,7' 2'',107.5,8' 11.5'',2009,2008-09,0,2609,Connecticut,23,36,36,34.6,5.3,10.4,0.505,0.0,0.0,0.0,3.1,5.2,0.597,3.2,6.8,9.9,1.7,0.5,1.2,1.8,2.0,13.6,9.8,916099,below average
201965,Jeff,Ayres,Jeff Ayres,PF,80.75,6' 8.75'',239.6,85.0,7' 1'',107.0,8' 11'',2009,2008-09,0,2506,Arizona State,22,35,35,32.5,5.7,8.6,0.66,0.0,0.0,0.0,3.2,4.1,0.779,2.5,5.7,8.2,0.9,0.5,0.9,1.2,2.7,14.5,6.8,1750000,average
201971,DeJuan,Blair,DeJuan Blair,PF,77.25,6' 5.25'',276.6,86.0,7' 2'',106.5,8' 10.5'',2009,2008-09,0,3487,Pittsburgh,20,35,35,27.3,6.5,10.9,0.593,0.0,0.0,,2.8,4.6,0.605,5.6,6.8,12.3,1.2,1.5,1.0,1.3,2.7,15.7,9.7,947907,below average
201978,Chase,Budinger,Chase Budinger,SF-SG,78.25,6' 6.25'',206.4,79.0,6' 7'',101.0,8' 5'',2009,2008-09,0,2507,Arizona,21,35,35,37.6,6.3,13.0,0.48,1.9,4.8,0.399,3.6,4.5,0.801,1.4,4.8,6.2,3.4,1.4,0.5,2.4,1.9,18.0,6.6,5000000,above average
201947,Earl,Clark,Earl Clark,SF-PF,80.5,6' 8.5'',228.4,86.5,7' 2.5'',109.5,9' 1.5'',2009,2008-09,0,2855,Louisville,21,37,36,34.3,5.5,11.9,0.457,0.8,2.6,0.326,2.4,3.8,0.647,2.8,5.9,8.7,3.2,1.0,1.4,3.2,1.9,14.2,6.3,4250000,average
201954,Darren,Collison,Darren Collison,PG,72.25,6' 0.25'',166.2,75.0,6' 3'',96.5,8' 0.5'',2009,2008-09,0,2535,California-Los Angeles,21,35,35,31.5,5.0,9.8,0.509,1.2,3.0,0.394,3.2,3.6,0.897,0.5,1.9,2.4,4.7,1.6,0.1,2.5,1.5,14.4,10.8,1900000,average
201967,Dante,Cunningham,Dante Cunningham,PF,79.0,6' 7'',227.4,83.0,6' 11'',106.5,8' 10.5'',2009,2008-09,0,3502,Villanova,22,38,38,31.6,6.4,12.2,0.525,0.0,0.1,0.0,3.3,4.7,0.697,2.6,4.9,7.5,1.2,1.2,1.2,2.2,2.7,16.1,8.1,2180000,average
201939,Stephen,Curry,Stephen Curry,PG-SG,74.0,6' 2'',181.0,75.5,6' 3.5'',97.0,8' 1'',2009,2008-09,0,3110,Davidson,21,34,34,33.7,9.2,20.2,0.454,3.8,9.9,0.387,6.5,7.4,0.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6,16.4,9887642,near max
201948,Austin,Daye,Austin Daye,SF-PF,81.75,6' 9.75'',191.8,86.75,7' 2.75'',110.0,9' 2'',2009,2008-09,0,3722,Gonzaga,21,34,33,26.3,4.7,9.8,0.477,1.1,2.5,0.429,2.3,3.2,0.706,1.1,5.8,6.8,1.1,0.7,2.1,2.1,2.9,12.7,6.2,947907,below average
201942,DeMar,DeRozan,DeMar DeRozan,SG-SF,77.5,6' 5.5'',211.2,81.0,6' 9'',102.5,8' 6.5'',2009,2008-09,0,2534,Southern California,19,35,35,33.4,5.5,10.5,0.523,0.2,1.0,0.167,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,12.8,9500000,near max
201962,Toney,Douglas,Toney Douglas,PG,73.0,6' 1'',183.4,78.0,6' 6'',97.5,8' 1.5'',2009,2008-09,0,2653,Florida State,23,35,35,36.5,6.8,15.3,0.446,2.4,6.3,0.385,5.4,6.6,0.81,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2,21.5,5.7,1600000,average
201961,Wayne,Ellington,Wayne Ellington,SG,76.25,6' 4.25'',202.4,78.5,6' 6.5'',100.0,8' 4'',2009,2008-09,0,3104,North Carolina,21,38,37,30.4,5.7,11.7,0.483,2.2,5.4,0.417,2.3,2.9,0.777,1.5,3.4,4.9,2.7,0.9,0.2,1.6,1.5,15.8,6.8,2652000,average
201936,Tyreke,Evans,Tyreke Evans,PG-SG,76.0,6' 4'',220.6,83.25,6' 11.25'',104.0,8' 8'',2009,2008-09,0,3581,Memphis,19,37,35,29.0,6.2,13.6,0.455,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,12.8,10300000,near max
201959,Taj,Gibson,Taj Gibson,PF,80.5,6' 8.5'',214.4,88.0,7' 4'',109.0,9' 1'',2009,2008-09,0,2534,Southern California,24,35,35,33.7,5.4,9.0,0.601,0.0,0.0,,3.4,5.2,0.659,3.5,5.5,9.0,1.3,1.0,2.9,2.1,2.9,14.3,11.7,7550000,above average
201980,Danny,Green,Danny Green,SG-SF,77.25,6' 5.25'',208.0,82.0,6' 10'',103.0,8' 7'',2009,2008-09,0,3104,North Carolina,22,38,38,27.4,4.8,10.3,0.471,2.0,4.8,0.418,1.4,1.6,0.852,1.8,2.8,4.7,2.7,1.8,1.3,1.7,2.2,13.1,9.1,3762500,average
201933,Blake,Griffin,Blake Griffin,PF,80.5,6' 8.5'',248.4,83.25,6' 11.25'',105.0,8' 9'',2009,2008-09,0,3389,Oklahoma,20,35,35,33.3,8.6,13.1,0.654,0.1,0.2,0.375,5.5,9.3,0.59,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,16.2,16441500,max
201946,Tyler,Hansbrough,Tyler Hansbrough,PF,80.25,6' 8.25'',234.2,83.5,6' 11.5'',106.0,8' 10'',2009,2008-09,0,3104,North Carolina,23,34,34,30.3,6.6,12.8,0.514,0.3,0.7,0.391,7.3,8.7,0.841,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3,20.7,9.0,3183000,average
