,Unnamed: 0,index,pm,name,score,height,weight,position,school,year
0,0,2,1.0,Evan Turner,97,6-7,214,SG,Ohio St.,Jr.
1,1,3,1.0,Derrick Favors,98,6-10,245,PF,Georgia Tech,Fr.
2,2,4,1.0,Wesley Johnson,97,6-7,206,SF,Syracuse,Jr.
3,3,5,1.0,Greg Monroe,96,6-11,247,PF/C,Georgetown,So.
4,4,6,1.0,Patrick Patterson,96,6-9,240,PF,Kentucky,Jr.
5,5,7,1.0,De Marcus Cousins,94,6-11,292,PF/C,Kentucky,Fr.
6,6,8,1.0,Luke Babbitt,94,6-9,218,SF/PF,Nevada,So.
7,7,9,4.0,Al-Farouq Aminu,96,6-8,216,SF,Wake Forest,So.
8,8,10,2.0,Paul George,95,6-9,214,SF,Fresno St.,So.
9,9,11,,Ed Davis,94,6-10,227,PF,North Carolina,So.
10,10,12,2.0,Xavier Henry,93,6-6,210,SG,Kansas,Fr.
11,11,13,2.0,Avery Bradley,93,6-3,180,SG,Texas,Fr.
12,12,14,4.0,Hassan Whiteside,94,7-0,227,C,Marshall,Fr.
13,13,15,1.0,Cole Aldrich,93,6-10,236,C,Kansas,Jr.
14,14,16,1.0,Gordon Hayward,92,6-8,211,SF,Butler,So.
15,15,17,-7.0,Ekpe Udoh,92,6-10,237,PF,Baylor,Jr.
16,16,18,1.0,Devin Ebanks,93,6-8,208,SF,West Virginia,So.
17,17,19,1.0,James Anderson,92,6-6,208,SG,Oklahoma State,Jr.
18,18,20,1.0,Daniel Orton,92,6-10,269,PF/C,Kentucky,Fr.
19,19,21,1.0,Elliot Williams,94,6-4,180,SG,Memphis,So.
20,20,22,2.0,Armon Johnson,91,6-3,190,PG/SG,Nevada,Jr.
21,21,23,2.0,Craig Brackins,92,6-10,229,PF,Iowa St.,Jr.
22,22,24,2.0,Gani Lawal,91,6-9,233,PF,Georgia Tech,Jr.
23,23,25,2.0,Dominique Jones,92,6-4,216,SG,South Florida,Jr.
24,24,26,-3.0,Terrico White,92,6-5,203,PG/SG,Mississippi,So.
25,25,27,1.0,Eric Bledsoe,90,6-1,192,PG/SG,Kentucky,Fr.
26,26,28,1.0,Larry Sanders,92,6-10,222,PF/C,VCU,Jr.
27,27,29,1.0,Damion James,92,6-7,227,SF,Texas,Sr.
28,28,30,1.0,Stanley Robinson,92,6-8,213,SF,UConn,Sr.
29,29,31,1.0,Kevin Seraphin,90,6-9,263,PF/C,Cholet,1989
30,30,32,1.0,Willie Warren,89,6-4,208,PG/SG,Oklahoma,So.
31,31,33,1.0,Lance Stephenson,91,6-6,227,SG,Cincinnati,Fr.
32,32,34,1.0,Nemanja Bjelica,92,6-10,223,SF,Red Star,1988
33,33,35,1.0,Quincy Pondexter,90,6-7,215,SF,Washington,Sr.
34,34,36,1.0,Jordan Crawford,89,6-4,198,SG,Xavier,So.
35,35,37,1.0,Trevor Booker,90,6-7,236,PF,Clemson,Sr.
36,36,38,1.0,Dwayne Collins,88,6-8,241,PF,Miami,Sr.
37,37,39,1.0,Lazar Hayward,90,6-6,226,SF,Marquette,Sr.
38,38,40,1.0,Tiny Gallon,90,6-9,296,PF,Oklahoma,Fr.
39,39,41,1.0,Jerome Jordan,90,7-1,244,C,Tulsa,Sr.
40,40,42,1.0,Solomon Alabi,89,7-1,237,C,Florida St.,So.
41,41,43,1.0,Da'Sean Butler,91,6-7,225,SF,West Virginia,Sr.
42,42,44,1.0,Tibor Pleiss,90,7-1,235,C,Brose Baskets,1989
43,43,45,1.0,Greivis Vasquez,91,6-6,211,PG/SG,Maryland,Sr.
44,44,46,10.0,Manny Harris,89,6-5,185,SG,Michigan,Jr.
45,45,47,1.0,Mikhail Torrance,89,6-5,209,PG/SG,Alabama,Sr.
46,46,48,1.0,Mac Koshwal,89,6-9,250,PF,DePaul,Jr.
47,47,49,-2.0,Jarvis Varnado,88,6-9,210,PF,Mississippi St.,Sr.
48,48,50,,Latavious Williams,88,6-8,205,PF,Tulsa 66ers (D-League),1989
49,49,51,,Art Parakhouski,89,6-11,268,C,Radford,Sr.
50,50,52,,Matt Bouldin,86,6-5,214,PG/SG,Gonzaga,Sr.
51,51,53,,Samardo Samuels,89,6-8,245,PF,Louisville,So.
52,52,54,,Darington Hobson,89,6-6,204,SF,New Mexico,Jr.
53,53,55,,Denis Clemente,88,6-0,175,PG,Kansas State,Sr.
54,54,56,1.0,Marquis Gilstrap,87,6-7,215,SF,Iowa St.,Sr.
55,55,57,1.0,Hamady Ndiaye,87,7-0,240,C,Rutgers,Sr.
56,56,58,1.0,Charles Garcia,82,6-9,232,SF/PF,Seattle,Jr.
57,57,59,1.0,Landon Milbourne,88,6-7,207,SF,Maryland,Sr.
58,58,60,1.0,Luke Harangody,72,6-7,240,SF/PF,Notre Dame,Sr.
59,59,61,1.0,Sherron Collins,88,5-11,217,PG,Kansas,Sr.
60,60,62,1.0,Alexey Shved,91,6-6,178,PG/SG,Dynamo Moscow,1988
61,61,63,14.0,Andy Rautins,86,6-5,192,SG,Syracuse,Sr.
62,62,64,,A J Ogilvy,87,6-10,250,C,Vanderbilt,Jr.
63,63,65,,Miroslav Raduljica,87,6-11,240,C,FMP Zeleznik,1988
64,64,66,,Dexter Pittman,86,6-11,303,C,Texas,Sr.
65,65,67,,Michael Washington,87,6-10,239,PF,Arkansas,Sr.
66,66,68,,Paulo Prestes,86,6-10,275,PF/C,CB Murcia,1988
67,67,69,,Ryan Richards,87,7-0,230,PF/C,Gran Canaria,1991
68,68,70,32.0,Thomas Heurtel,86,6-2,180,PG,Strasbourg,1989
69,69,71,-1.0,Derrick Caracter,87,6-9,280,PF,UTEP,Jr.
70,70,72,-1.0,Jerome Dyson,88,6-3,180,SG,UConn,Sr.
71,71,73,-1.0,Kevin Palmer,88,6-6,205,SF,Texas A&M Corpus Christi,Sr.
72,72,74,-1.0,Tyler Smith,89,6-6,212,SF,Bornova (Turkey),1986
73,73,75,-1.0,Magnum Rolle,87,6-10,220,SF/PF,Louisiana Tech,Sr.
74,74,76,-1.0,J P Prince,86,6-7,205,SG,Tennessee,Sr.
75,75,77,-1.0,Theo Robertson,85,6-6,220,SG/SF,California,Sr.
76,76,78,1.0,Ben Uzoh,87,6-3,200,PG/SG,Tulsa,Sr.
77,77,79,1.0,Ryan Thompson,86,6-6,210,SG/SF,Rider,Sr.
78,78,80,1.0,Tim Ohlbrecht,88,6-11,235,PF,Telekom Baskets Bonn,1988
79,79,81,1.0,Deon Thompson,86,6-8,240,PF,North Carolina,Sr.
80,80,82,1.0,Tommy Mason-Griffin,85,5-10,203,PG,Oklahoma,Fr.
81,81,83,1.0,Jon Scheyer,87,6-6,180,PG/SG,Duke,Sr.
82,82,84,1.0,Edwin Ubiles,86,6-6,198,SG,Siena,Sr.
83,83,85,1.0,Tyren Johnson,86,6-8,204,SF,Louisiana Lafayette,Sr.
84,84,86,1.0,De Shawn Sims,72,6-8,230,SF/PF,Michigan,Sr.
85,85,87,1.0,Sylven Landesberg,0,6-6,210,SG,Virginia,So.
86,86,88,1.0,Wayne Chism,87,6-8,246,PF,Tennessee,Sr.
87,87,89,1.0,Marqus Blakely,87,6-5,225,SF,Vermont,Sr.
88,88,90,1.0,Jerome Randle,86,5-10,165,PG,California,Sr.
89,89,91,1.0,Raymar Morgan,85,6-7,210,SF,Michigan St.,Sr.
90,90,92,1.0,Aubrey Coleman,87,6-3,210,SG,Houston,Sr.
91,91,93,1.0,Landry Fields,86,6-7,210,SF,Stanford,Sr.
92,92,94,1.0,Marcus Johnson,85,6-6,210,SG,USC,Sr.
93,93,95,1.0,Omar Samhan,85,6-10,265,C,St. Mary's,Sr.
94,94,96,1.0,Dominique Archie,0,6-7,200,SF,South Carolina,Sr.
95,95,97,1.0,Boban Marjanovic,90,7-3,293,C,Hemofarm,1988
96,96,98,1.0,Vladimir Dasic,85,6-10,226,SF,Real Madrid,1988
97,97,99,1.0,Patrick Christopher,88,6-5,210,SG/SF,California,Sr.
98,98,100,1.0,Scottie Reynolds,85,6-1,185,PG,Villanova,Sr.
99,99,2,2.0,Enes Kanter,98,6-11,259,PF/C,Kentucky,Fr.
100,100,3,,Kyrie Irving,97,6-3,191,PG,Duke,Fr.
101,101,4,1.0,Brandon Knight,96,6-3,177,PG/SG,Kentucky,Fr.
102,102,5,2.0,Donatas Motiejunas,96,7-0,224,PF,Benetton Treviso,1990
103,103,6,5.0,Jan Vesely,95,6-11,230,SF/PF,Partizan Belgrade,1990
104,104,7,5.0,Jonas Valanciunas,93,6-11,240,C,Lietuvos Rytas,1992
105,105,8,2.0,Jimmer Fredette,93,6-2,196,PG,,Sr.
106,106,9,6.0,Tristan Thompson,92,6-9,227,PF,Texas,Fr.
107,107,10,-4.0,Alec Burks,95,6-6,193,PG/SG,Colorado,So.
108,108,11,8.0,Klay Thompson,93,6-7,206,SG/SF,Washington State,Jr.
109,109,12,-3.0,Kemba Walker,95,6-1,184,PG,UConn,Jr.
110,110,13,-5.0,Kawhi Leonard,93,6-7,227,SF,San Diego St.,So.
111,111,14,-1.0,Marcus Morris,78,6-8,230,SF/PF,Kansas,Jr.
112,112,15,-1.0,Markieff Morris,94,6-9,241,PF,Kansas,Jr.
113,113,16,4.0,Jordan Hamilton,91,6-8,228,SG/SF,Texas,So.
114,114,17,-1.0,Tobias Harris,78,6-8,223,SF/PF,Tennessee,Fr.
115,115,18,-1.0,Tyler Honeycutt,93,6-8,187,SG/SF,UCLA,So.
116,116,19,-1.0,Chris Singleton,78,6-9,230,SF/PF,Florida St.,Jr.
117,117,20,2.0,Marshon Brooks,92,6-5,195,SG,Providence,Sr.
118,118,21,4.0,Trey Thompkins,92,6-10,239,PF,Georgia,Jr.
119,119,22,6.0,Kenneth Faried,92,6-7,225,PF,Morehead St.,Sr.
120,120,23,,Darius Morris,92,6-4,190,PG,Michigan,So.
121,121,24,,Bismack Biyombo,89,6-9,243,C,Fuenlabrada,1992
122,122,25,7.0,Ja Juan Johnson,90,6-10,220,PF,Purdue,Sr.
123,123,26,1.0,Justin Harper,91,6-9,228,PF,Richmond,Sr.
124,124,27,-6.0,Davis Bertans,92,6-10,211,SF,Union Olimpija,1992
125,125,28,11.0,Nikola Vucevic,90,6-11,260,C,USC,Jr.
126,126,29,4.0,Norris Cole,91,6-1,174,PG,Cleveland St.,Sr.
127,127,30,-4.0,Kyle Singler,90,6-9,228,SF,Duke,Sr.
128,128,31,,Jeremy Tyler,90,6-10,262,PF/C,Tokyo Apache,1991
129,129,32,14.0,Nikola Mirotic,82,6-10,225,SF/PF,Real Madrid,1991
130,130,33,-4.0,Shelvin Mack,88,6-2,205,PG/SG,Butler,Jr.
131,131,34,3.0,Nolan Smith,90,6-3,189,PG/SG,Duke,Sr.
132,132,35,5.0,Reggie Jackson,89,6-3,200,PG/SG,Boston College,Jr.
133,133,36,,Chandler Parsons,89,6-10,221,SF,Florida,Sr.
134,134,37,21.0,Travis Leslie,89,6-4,205,SG/SF,Georgia,Jr.
135,135,38,4.0,Jon Leuer,90,6-11,223,PF,Wisconsin,Sr.
136,136,39,-1.0,Malcolm Lee,88,6-5,198,PG/SG,UCLA,Jr.
137,137,40,-10.0,Josh Selby,90,6-3,195,PG/SG,Kansas,Fr.
138,138,41,-7.0,Jordan Williams,91,6-9,247,PF,Maryland,So.
139,139,42,-1.0,Cory Joseph,89,6-3,186,PG,Texas,Fr.
140,140,43,10.0,Iman Shumpert,89,6-5,222,PG/SG,Georgia Tech,Jr.
141,141,44,,Andrew Goudelock,88,6-2,198,PG/SG,Charleston,Sr.
142,142,45,6.0,Keith Benson,88,6-11,217,C,Oakland,Sr.
143,143,46,16.0,Charles Jenkins,88,6-3,216,PG/SG,Hofstra,Sr.
144,144,47,21.0,Matthew Bryan-Amaning,88,6-10,232,PF,Washington,Sr.
145,145,48,26.0,Bojan Bogdanovic,86,6-7,195,SG/SF,Fenerbahe Ulke,1989
146,146,49,51.0,Xavi Rabaseda,86,6-7,190,SG,Regal FC Barcelona,1989
147,147,50,21.0,Jimmy Butler,88,6-7,222,SF,Marquette,Sr.
148,148,51,1.0,Malcolm Thomas,85,6-9,223,PF,San Diego St.,Sr.
149,149,52,-7.0,Willie Reed,88,6-9,220,PF,St. Louis,Jr.
150,150,53,-3.0,Ravern Johnson,89,6-6,170,SG/SF,Mississippi St.,Sr.
151,151,54,9.0,Julyan Stone,87,6-6,200,PG,UTEP,Sr.
152,152,55,,Rick Jackson,88,6-9,242,PF,Syracuse,Sr.
153,153,56,46.0,De Andre Liggins,88,6-6,202,SG,Kentucky,Jr.
154,154,57,2.0,Greg Smith,87,6-9,253,PF/C,Fresno St.,So.
155,155,58,-11.0,Jereme Richmond,86,6-7,207,SF,Illinois,Fr.
156,156,59,-11.0,E'twaun Moore,87,6-4,191,PG/SG,Purdue,Sr.
157,157,60,-4.0,David Lighty,89,6-6,216,SG,Ohio St.,Sr.
158,158,61,,Cam Long,87,6-4,192,SG,George Mason,Sr.
159,159,62,2.0,Justin Hurtt,88,6-4,195,SG,Tulsa,Sr.
160,160,63,-3.0,Lace Darius Dunn,89,6-4,188,SG,Baylor,Sr.
161,161,64,38.0,De Angelo Casto,87,6-8,255,PF,Washington State,Jr.
162,162,65,4.0,Jamie Skeen,86,6-8,242,PF,VCU,Sr.
163,163,66,-17.0,Gary Flowers,89,6-8,214,SF,Southern Miss.,Sr.
164,164,67,18.0,Diante Garrett,86,6-5,181,PG,Iowa St.,Sr.
165,165,68,34.0,Vernon Macklin,86,6-10,244,PF,Florida,Sr.
166,166,69,10.0,Jamine Peterson,84,6-6,235,PF,New Mexico Thunderbirds,1988
167,167,70,25.0,Xavier Silas,0,6-4,200,SG,Northern Illinois,Sr.
168,168,71,-6.0,Chris Wright,87,6-8,217,SF/PF,Dayton,Sr.
169,169,72,4.0,Jon Diebler,86,6-6,197,SG,Ohio St.,Sr.
170,170,73,-3.0,Mike Davis,81,6-9,213,SF/PF,Illinois,Sr.
171,171,74,-8.0,Demetri Mc Camey,88,6-3,204,PG,Illinois,Sr.
172,172,75,-8.0,Brad Wanamaker,86,6-4,208,PG/SG,Pittsburgh,Sr.
173,173,76,22.0,John Holland,0,6-5,210,SG,Boston University,Sr.
174,174,77,-20.0,Scotty Hopson,87,6-7,205,SG/SF,Tennessee,Jr.
175,175,78,-6.0,Justin Brownlee,88,6-7,219,SF,St. Johns,Sr.
176,176,79,23.0,Dogus Balbay,85,6-1,180,PG,Texas,Sr.
177,177,80,-7.0,Michael Dunigan,0,6-10,238,PF,Hapoel Migdal Jerusalem,1989
178,178,81,1.0,Austin Freeman,86,6-4,225,SG,Georgetown,Sr.
179,179,82,-2.0,Jeff Allen,70,6-6,227,SF/PF,Virginia Tech,Sr.
180,180,83,3.0,Delroy James,0,6-7,225,SF,Rhode Island,Sr.
181,181,84,-7.0,Chaisson Allen,88,6-5,193,PG/SG,Northeastern,Sr.
182,182,85,-7.0,Ben Hansbrough,85,6-3,203,PG/SG,Notre Dame,Sr.
183,183,86,3.0,Corey Fisher,88,6-0,202,PG,Villanova,Sr.
184,184,87,6.0,Randy Culpepper,85,6-0,160,PG,UTEP,Sr.
185,185,88,3.0,Lavoy Allen,0,6-9,225,PF,Temple,Sr.
186,186,89,5.0,Terrence Jennings,0,6-10,225,PF,Louisville,Jr.
187,187,90,-9.0,Pablo Aguilar,75,6-9,200,SF/PF,CB Granada,1989
188,188,91,8.0,Gilbert Brown,0,6-6,213,SG,Pittsburgh,Sr.
189,189,92,-9.0,Steven Gray,86,6-4,210,SG,Gonzaga,Sr.
190,190,93,4.0,Cory Higgins,0,6-4,180,PG/SG,Colorado,Sr.
191,191,94,-6.0,Jacob Pullen,86,6-0,194,PG/SG,Kansas State,Sr.
192,192,95,-8.0,Sam Muldrow,0,6-9,213,PF,South Carolina,Sr.
193,193,96,6.0,Alex Tyus,0,6-8,207,SF/PF,Florida,Sr.
194,194,97,5.0,Jeremy Hazell,0,6-5,185,SG,Seton Hall,Sr.
195,195,98,3.0,Clarence Jackson,0,6-4,188,SG,Siena,Sr.
196,196,99,3.0,Ferrakohn Hall,0,6-8,225,SF/PF,Memphis,Sr.
197,197,100,2.0,Mark Payne,86,6-7,206,PG/SG,UC Davis,Sr.
198,198,2,1.0,Andre Drummond,99,6-11,279,PF/C,UConn,Fr.
199,199,3,1.0,Harrison Barnes,97,6-8,228,SF,North Carolina,So.
200,200,4,2.0,Bradley Beal,94,6-4,202,SG,Florida,Fr.
201,201,5,,Jeremy Lamb,97,6-5,179,SG,UConn,So.
202,202,6,1.0,Thomas Robinson,97,6-9,244,PF,Kansas,Jr.
203,203,7,2.0,Damian Lillard,96,6-3,189,PG,Weber St.,Jr.
204,204,8,,Michael Kidd-Gilchrist,96,6-7,233,SF,Kentucky,Fr.
205,205,9,1.0,Terrence Ross,96,6-7,197,SG/SF,Washington,So.
206,206,10,2.0,Austin Rivers,94,6-5,203,SG,Duke,Fr.
207,207,11,2.0,Meyers Leonard,95,7-1,250,C,Illinois,So.
208,208,12,5.0,Tyler Zeller,93,7-0,247,PF/C,North Carolina,Sr.
209,209,13,2.0,Kendall Marshall,93,6-4,197,PG,North Carolina,So.
210,210,14,-3.0,Moe Harkless,94,6-8,207,SF,St. Johns,Fr.
211,211,15,9.0,Andrew Nicholson,93,6-10,234,PF,St. Bonaventure,Sr.
212,212,16,-2.0,Arnett Moultrie,94,6-11,233,PF,Mississippi St.,Jr.
213,213,17,-1.0,Dion Waiters,93,6-4,215,SG,Syracuse,So.
214,214,18,,Perry Jones,94,6-11,234,SF/PF,Baylor,So.
215,215,19,1.0,Jared Sullinger,92,6-9,268,PF,Ohio St.,So.
216,216,20,-1.0,John Henson,94,6-10,216,PF,North Carolina,Jr.
217,217,21,1.0,Terrence Jones,93,6-9,252,SF/PF,Kentucky,So.
218,218,22,3.0,Marquis Teague,93,6-2,189,PG,Kentucky,Fr.
219,219,23,,Royce White,94,6-8,261,SF,Iowa St.,So.
220,220,24,3.0,John Jenkins,92,6-4,212,SG,Vanderbilt,Jr.
221,221,25,-4.0,Doron Lamb,92,6-4,199,SG,Kentucky,So.
222,222,26,3.0,Quincy Miller,89,6-10,219,SF,Baylor,Fr.
223,223,27,4.0,Will Barton,89,6-6,174,SG/SF,Memphis,So.
224,224,28,,Khris Middleton,90,6-8,216,SG/SF,Texas A&M,Jr.
225,225,29,1.0,Tony Wroten,92,6-6,203,PG/SG,Washington,Fr.
226,226,30,-4.0,Jeffery Taylor,92,6-7,213,SF,Vanderbilt,Sr.
227,227,31,1.0,Fab Melo,90,7-0,255,C,Syracuse,So.
228,228,32,1.0,Jared Cunningham,90,6-5,188,SG,Oregon St.,Jr.
229,229,33,1.0,Festus Ezeli,89,6-11,264,C,Vanderbilt,Sr.
230,230,34,1.0,Draymond Green,89,6-7,236,SF/PF,Michigan St.,Sr.
